"","x"
"JL2B2T0",0.0589575619481629
"JL2B2T1",0.0692997982958054
"JL2B2T2",0.0700397702165267
"JL2B2T3",0.0815939278937381
"JL2B2T4",0.102349625747159
"JL2B2T5",0.107784050250457
"JL2B2T6",0.129569156220373
"JL2B2T7",0.110607691000736
"JL2N1T0",0.0605128930039698
"JL2N1T1",0.067339403870486
"JL2N1T2",0.062402262901297
"JL2N1T4",0.10496420330158
"JL2N1T5",0.10350052246604
"JL2N1T6",0.118886014897217
"JL2N1T7",0.0867892549198962
"JL2N3T0",0.050453724234212
"JL2N3T1",0.0574165484411823
"JL2N3T2",0.0678235014866452
"JL2N3T3",0.0650111130107711
"JL2N3T4",0.100815906753514
"JL2N3T5",0.124847194289996
"JL2N3T6",0.137855424088391
"JL2N3T7",0.147209908943974
