"","x"
"JL2B2T0",0.000436722681097503
"JL2B2T1",0.000380768122504425
"JL2B2T2",0.000673884224480778
"JL2B2T3",0.000659143113951863
"JL2B2T4",0.000664141731435444
"JL2B2T5",0.000556571519440248
"JL2B2T6",0.000484567576108712
"JL2B2T7",0
"JL2N1T0",0.000200256799896338
"JL2N1T1",0.000248905851361722
"JL2N1T2",0.000471437770214332
"JL2N1T4",0.000544346488373469
"JL2N1T5",0.000557297109021247
"JL2N1T6",0.000525097726521325
"JL2N1T7",0.000484254987153791
"JL2N3T0",0.000667241520900058
"JL2N3T1",0.000269671352694955
"JL2N3T2",0.000387277315543562
"JL2N3T3",0.000320567618396307
"JL2N3T4",0.000287967089475489
"JL2N3T5",0.000420626470549575
"JL2N3T6",0.000341719704412456
"JL2N3T7",0.000480084494871097
