"","x"
"JL2B2T0",0.00041773473844109
"JL2B2T1",0.00040135018318034
"JL2B2T2",0.00037560760053027
"JL2B2T3",0.000579246978927394
"JL2B2T4",0.000592342625334315
"JL2B2T5",0.000349844955076727
"JL2B2T6",0.000358158643210787
"JL2B2T7",0.000254856430877272
"JL2N1T0",0.000400513599792675
"JL2N1T1",0.000549667088423804
"JL2N1T2",0.000459939288013982
"JL2N1T4",0.000544346488373469
"JL2N1T5",0.000313479623824451
"JL2N1T6",0.000330617087068982
"JL2N1T7",0.000215224438735018
"JL2N3T0",0.000215570337521557
"JL2N3T1",0.00051589302254687
"JL2N3T2",0.000462234215326187
"JL2N3T3",0.000395366729355445
"JL2N3T4",0.000452519712032911
"JL2N3T5",0.000420626470549575
"JL2N3T6",0.00042714963051557
"JL2N3T7",0.000240042247435549
