"","x"
"JL2B2T0",0.00543055159973417
"JL2B2T1",0.00558802947351089
"JL2B2T2",0.00325894829871851
"JL2B2T3",0.00573254768800559
"JL2B2T4",0.00448744413132056
"JL2B2T5",0.00373698020195595
"JL2B2T6",0.00501422100495102
"JL2B2T7",0.00705102792093787
"JL2N1T0",0.00630219929085533
"JL2N1T1",0.00648192321254485
"JL2N1T2",0.00493284886394996
"JL2N1T4",0.00584580794035856
"JL2N1T5",0.00520724486241728
"JL2N1T6",0.00513428888154184
"JL2N1T7",0.0063356694152621
"JL2N3T0",0.00529687115052969
"JL2N3T1",0.00581552134507381
"JL2N3T2",0.00372285935587037
"JL2N3T3",0.00544964951273722
"JL2N3T4",0.00566335275968461
"JL2N3T5",0.00448230082679391
"JL2N3T6",0.00394401492176043
"JL2N3T7",0.0064011265982813
